poi_key,display_name_ja
lot_country,田舎の空き地
house_old,古い家
store_grocery,食料品店
store_pharmacy,薬局
store_hardware,工具店
store_book,本屋
store_gun,銃砲店
store_electronics,電器店
store_auto,自動車店
restaurant,レストラン
diner,食堂
gas_station,ガソリンスタンド
church,教会
school,学校
hospital,病院
police_station,警察署
fire_station,消防署
factory,工場
warehouse,倉庫
farm,農場
camp,キャンプ地
trader,トレーダー拠点
base_military,軍事基地
base_survivor,生存者基地
survivor_site,生存者キャンプ
city_strip,市街地の商店街
house_modern,現代風住宅
house_old_bungalow,旧式の平屋住宅
house_old_mansard,旧式のマンサード屋根住宅
house_old_modular,旧式のモジュール住宅
house_old_victorian,旧式のヴィクトリア様式住宅
house_old_pyramid,旧式のピラミッド屋根住宅
house_old_tudor,旧式のチューダー様式住宅
house_old_ranch,旧式の牧場風住宅
lot_countryres,郊外住宅地の空き地
lot_rural_filler,農村の空き区画
lot_vacant,更地
house_burnt,焼け落ちた住宅
remnant_burnt,焼け跡
remnant_coffee_shop,廃コーヒーショップ
remnant_selfstorage,廃貸倉庫
cemetery,墓地
apartments,集合住宅
trailer,トレーラーハウス
trailer_park,トレーラーパーク
bombshelter,地下シェルター
bowling_alley,ボウリング場
quarry,採石場
sawmill,製材所
mine,鉱山
water_tower,給水塔
utility_celltower,電波塔
trader_bob,トレーダー・ボブ
trader_rekt,トレーダー・レクト
trader_jen,トレーダー・ジェン
